model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,feature_set,n_features
SVR,-0.3086,-0.4475,0.2681,0.6677,0.5342,0.8700,1.2700,40.0000,Co_мг_кг,date1,deriv1_snv,300
SVR,-0.3101,-0.6330,0.6562,0.3563,0.2878,0.8700,1.1500,24.0000,Co_мг_кг,date2,vip,82
RF,-0.3375,-0.5064,0.2757,0.6751,0.5452,0.8600,1.2500,40.0000,Co_мг_кг,date1,pca_10,10
RF,-0.3505,-0.4770,0.3027,0.6783,0.5654,0.8600,1.2500,40.0000,Co_мг_кг,date1,deriv1_snv,300
RF,-0.3641,-0.5505,0.3694,0.6817,0.5615,0.8600,1.2400,40.0000,Co_мг_кг,date1,hyper_idx,24
SVR,-0.3987,-0.8141,1.0440,0.3682,0.3101,0.8500,1.1100,24.0000,Co_мг_кг,date2,pca_10,10
RF,-0.4096,-0.6942,0.4520,0.3696,0.3009,0.8400,1.1100,24.0000,Co_мг_кг,date2,deriv1_snv,300
SVR,-0.4164,-0.6013,0.4693,0.6947,0.5727,0.8400,1.2200,40.0000,Co_мг_кг,date1,cars_spa,11
SVR,-0.4365,-0.6165,0.4925,0.6996,0.5767,0.8300,1.2100,40.0000,Co_мг_кг,date1,raw_smooth,300
GBR,-0.4371,-0.7176,0.5841,0.6997,0.5671,0.8300,1.2100,40.0000,Co_мг_кг,date1,cars_spa,11
GBR,-0.4549,-0.6546,0.2740,0.7040,0.5442,0.8300,1.2000,40.0000,Co_мг_кг,date1,pca_10,10
SVR,-0.4584,-0.6655,0.4732,0.7049,0.5864,0.8300,1.2000,40.0000,Co_мг_кг,date1,hyper_idx,24
RF,-0.4619,-0.6776,0.4006,0.7058,0.5907,0.8300,1.2000,40.0000,Co_мг_кг,date1,raw_smooth,300
GBR,-0.4673,-0.5785,0.5417,0.7071,0.5829,0.8300,1.2000,40.0000,Co_мг_кг,date1,hyper_idx,24
RF,-0.4895,-0.6661,0.2006,0.3799,0.3013,0.8200,1.0800,24.0000,Co_мг_кг,date2,hyper_idx,24
RF,-0.5318,-0.8230,0.9861,0.3853,0.3086,0.8100,1.0600,24.0000,Co_мг_кг,date2,cars_spa,6
RF,-0.5651,-0.8034,0.5622,0.7302,0.6125,0.8000,1.1600,40.0000,Co_мг_кг,date1,vip,53
RF,-0.5932,-0.8473,0.4955,0.3929,0.3227,0.7900,1.0400,24.0000,Co_мг_кг,date2,raw_smooth,300
GBR,-0.5940,-0.7882,0.4680,0.7370,0.5760,0.7900,1.1500,40.0000,Co_мг_кг,date1,vip,53
XGBoost,-0.6046,-0.6719,0.4281,0.3943,0.2882,0.7900,1.0400,24.0000,Co_мг_кг,date2,hyper_idx,24
RF,-0.6334,-0.9654,0.5135,0.3979,0.3319,0.7800,1.0300,24.0000,Co_мг_кг,date2,vip,82
GBR,-0.6371,-0.9188,0.6510,0.7468,0.6123,0.7800,1.1300,40.0000,Co_мг_кг,date1,raw_smooth,300
XGBoost,-0.6499,-0.8027,0.5144,0.7497,0.6080,0.7800,1.1300,40.0000,Co_мг_кг,date1,raw_smooth,300
XGBoost,-0.6499,-0.7958,0.2730,0.7497,0.5921,0.7800,1.1300,40.0000,Co_мг_кг,date1,hyper_idx,24
XGBoost,-0.6918,-0.8968,0.6616,0.7592,0.6212,0.7700,1.1100,40.0000,Co_мг_кг,date1,vip,53
RF,-0.6983,-1.1629,0.8460,0.4057,0.3438,0.7700,1.0100,24.0000,Co_мг_кг,date2,pca_10,10
XGBoost,-0.7051,-1.5147,1.7474,0.4065,0.3623,0.7700,1.0100,24.0000,Co_мг_кг,date2,pca_10,10
GBR,-0.7182,-1.1463,1.1905,0.4081,0.3394,0.7600,1.0000,24.0000,Co_мг_кг,date2,cars_spa,6
XGBoost,-0.7548,-1.1139,0.7278,0.7732,0.6416,0.7500,1.0900,40.0000,Co_мг_кг,date1,cars_spa,11
GBR,-0.7607,-0.9776,0.4560,0.7745,0.6543,0.7500,1.0900,40.0000,Co_мг_кг,date1,deriv1_snv,300
GBR,-0.7808,-1.0953,0.9222,0.4154,0.3108,0.7500,0.9900,24.0000,Co_мг_кг,date2,deriv1_snv,300
GBR,-0.7840,-1.0495,0.4597,0.4158,0.3317,0.7500,0.9900,24.0000,Co_мг_кг,date2,hyper_idx,24
PLSR,-0.8232,-1.0527,0.7078,0.4203,0.3353,0.7400,0.9800,24.0000,Co_мг_кг,date2,deriv1_snv,300
GBR,-0.8721,-1.5832,1.4117,0.4259,0.3699,0.7300,0.9600,24.0000,Co_мг_кг,date2,vip,82
XGBoost,-0.9009,-1.1281,0.5767,0.8048,0.6873,0.7300,1.0500,40.0000,Co_мг_кг,date1,deriv1_snv,300
XGBoost,-0.9201,-1.1993,0.3628,0.8088,0.6360,0.7200,1.0500,40.0000,Co_мг_кг,date1,pca_10,10
XGBoost,-0.9455,-1.6122,1.0287,0.4342,0.3468,0.7200,0.9400,24.0000,Co_мг_кг,date2,deriv1_snv,300
PLSR,-0.9938,-1.5751,1.8312,0.8242,0.6166,0.7100,1.0300,40.0000,Co_мг_кг,date1,vip,53
GBR,-1.0337,-1.6894,1.6718,0.4439,0.3778,0.7000,0.9200,24.0000,Co_мг_кг,date2,raw_smooth,300
XGBoost,-1.0723,-1.6082,1.4476,0.4481,0.3639,0.6900,0.9100,24.0000,Co_мг_кг,date2,cars_spa,6
GBR,-1.0874,-1.6331,0.8594,0.4498,0.3888,0.6900,0.9100,24.0000,Co_мг_кг,date2,pca_10,10
XGBoost,-1.5158,-1.9682,1.2752,0.4938,0.3921,0.6300,0.8300,24.0000,Co_мг_кг,date2,raw_smooth,300
PLSR,-1.5624,-1.9294,1.2363,0.9344,0.7330,0.6200,0.9000,40.0000,Co_мг_кг,date1,pca_10,10
XGBoost,-1.5876,-1.9717,0.8491,0.5008,0.4084,0.6200,0.8200,24.0000,Co_мг_кг,date2,vip,82
PLSR,-1.8610,-2.1927,1.4700,0.5265,0.4351,0.5900,0.7800,24.0000,Co_мг_кг,date2,pca_10,10
PLSR,-1.9342,-2.5840,1.2518,0.9999,0.8560,0.5800,0.8500,40.0000,Co_мг_кг,date1,raw_smooth,300
PLSR,-3.4087,-5.4148,4.9635,0.6536,0.5263,0.4800,0.6300,24.0000,Co_мг_кг,date2,raw_smooth,300
PLSR,-3.7966,-6.7365,10.2303,0.6818,0.4897,0.4600,0.6000,24.0000,Co_мг_кг,date2,vip,82
PLSR,-4.8747,-6.5838,10.6233,1.4148,0.8754,0.4100,0.6000,40.0000,Co_мг_кг,date1,deriv1_snv,300
PLSR,-8.9379,-15.7092,22.5719,0.9814,0.6304,0.3200,0.4200,24.0000,Co_мг_кг,date2,hyper_idx,24
