feature,element,pearson_r,p_value,abs_r
Blue_w3_std,Mg_%,-0.1080,0.2850,0.1080
Blue_w3_std,S_%,0.0190,0.8515,0.0190
Blue_w3_std,Нитраты_мг_кг,0.0647,0.5223,0.0647
Blue_w3_std,Fe_мг_кг,0.0501,0.6209,0.0501
Blue_w3_std,Mn_мг_кг,-0.1681,0.0945,0.1681
Blue_w3_std,Cu_мг_кг,-0.1420,0.1654,0.1420
Blue_w3_std,Zn_мг_кг,-0.1141,0.2585,0.1141
Blue_w3_std,Co_мг_кг,-0.1486,0.2532,0.1486
Blue_w3_median,N_%,0.3036,0.0021,0.3036
Blue_w3_median,P_%,0.0015,0.9878,0.0015
Blue_w3_median,K_%,0.1302,0.1966,0.1302
Blue_w3_median,Ca_%,0.3743,0.0001,0.3743
Blue_w3_median,Mg_%,-0.1977,0.0486,0.1977
Blue_w3_median,S_%,0.1249,0.2155,0.1249
Blue_w3_median,Нитраты_мг_кг,0.1227,0.2241,0.1227
Blue_w3_median,Fe_мг_кг,0.0672,0.5063,0.0672
Blue_w3_median,Mn_мг_кг,-0.2288,0.0220,0.2288
Blue_w3_median,Cu_мг_кг,-0.1926,0.0587,0.1926
Blue_w3_median,Zn_мг_кг,-0.1766,0.0789,0.1766
Blue_w3_median,Co_мг_кг,-0.0257,0.8441,0.0257
Blue_w3_p25,N_%,0.2919,0.0032,0.2919
Blue_w3_p25,P_%,-0.0000,1.0000,0.0000
Blue_w3_p25,K_%,0.1380,0.1709,0.1380
Blue_w3_p25,Ca_%,0.3575,0.0003,0.3575
Blue_w3_p25,Mg_%,-0.2063,0.0395,0.2063
Blue_w3_p25,S_%,0.1339,0.1842,0.1339
Blue_w3_p25,Нитраты_мг_кг,0.1402,0.1641,0.1402
Blue_w3_p25,Fe_мг_кг,0.0644,0.5243,0.0644
Blue_w3_p25,Mn_мг_кг,-0.2248,0.0245,0.2248
Blue_w3_p25,Cu_мг_кг,-0.1817,0.0750,0.1817
Blue_w3_p25,Zn_мг_кг,-0.1708,0.0893,0.1708
Blue_w3_p25,Co_мг_кг,0.0137,0.9167,0.0137
Blue_w3_p75,N_%,0.2882,0.0036,0.2882
Blue_w3_p75,P_%,-0.0087,0.9311,0.0087
Blue_w3_p75,K_%,0.1305,0.1956,0.1305
Blue_w3_p75,Ca_%,0.3606,0.0002,0.3606
Blue_w3_p75,Mg_%,-0.2040,0.0418,0.2040
Blue_w3_p75,S_%,0.1057,0.2952,0.1057
Blue_w3_p75,Нитраты_мг_кг,0.1307,0.1949,0.1307
Blue_w3_p75,Fe_мг_кг,0.0567,0.5750,0.0567
Blue_w3_p75,Mn_мг_кг,-0.2334,0.0194,0.2334
Blue_w3_p75,Cu_мг_кг,-0.1968,0.0534,0.1968
Blue_w3_p75,Zn_мг_кг,-0.1812,0.0711,0.1812
Blue_w3_p75,Co_мг_кг,-0.0516,0.6928,0.0516
Blue_w3_cv,N_%,0.0057,0.9548,0.0057
Blue_w3_cv,P_%,-0.0454,0.6534,0.0454
Blue_w3_cv,K_%,0.0054,0.9574,0.0054
Blue_w3_cv,Ca_%,-0.0183,0.8570,0.0183
Blue_w3_cv,Mg_%,0.0423,0.6761,0.0423
Blue_w3_cv,S_%,-0.0713,0.4805,0.0713
Blue_w3_cv,Нитраты_мг_кг,-0.0072,0.9434,0.0072
Blue_w3_cv,Fe_мг_кг,0.0118,0.9071,0.0118
Blue_w3_cv,Mn_мг_кг,-0.0342,0.7352,0.0342
Blue_w3_cv,Cu_мг_кг,0.0014,0.9888,0.0014
Blue_w3_cv,Zn_мг_кг,0.0144,0.8872,0.0144
Blue_w3_cv,Co_мг_кг,-0.2579,0.0448,0.2579
Blue_w3_range,N_%,0.2136,0.0328,0.2136
Blue_w3_range,P_%,-0.0370,0.7150,0.0370
Blue_w3_range,K_%,0.0860,0.3948,0.0860
Blue_w3_range,Ca_%,0.2623,0.0084,0.2623
Blue_w3_range,Mg_%,-0.1038,0.3040,0.1038
