feature,element,pearson_r,p_value,abs_r
NIR_w1_mean,S_%,-0.0043,0.9668,0.0043
NIR_w1_mean,Нитраты_мг_кг,0.1562,0.1287,0.1562
NIR_w1_mean,Fe_мг_кг,-0.1597,0.1181,0.1597
NIR_w1_mean,Mn_мг_кг,-0.0830,0.4189,0.0830
NIR_w1_mean,Cu_мг_кг,0.1759,0.0849,0.1759
NIR_w1_mean,Zn_мг_кг,0.1640,0.1085,0.1640
NIR_w1_mean,Co_мг_кг,-0.1142,0.4499,0.1142
NIR_w1_std,N_%,,,
NIR_w1_std,P_%,,,
NIR_w1_std,K_%,,,
NIR_w1_std,Ca_%,,,
NIR_w1_std,Mg_%,,,
NIR_w1_std,S_%,,,
NIR_w1_std,Нитраты_мг_кг,,,
NIR_w1_std,Fe_мг_кг,,,
NIR_w1_std,Mn_мг_кг,,,
NIR_w1_std,Cu_мг_кг,,,
NIR_w1_std,Zn_мг_кг,,,
NIR_w1_std,Co_мг_кг,,,
NIR_w1_median,N_%,0.0298,0.7717,0.0298
NIR_w1_median,P_%,0.1621,0.1126,0.1621
NIR_w1_median,K_%,0.1198,0.2425,0.1198
NIR_w1_median,Ca_%,-0.0192,0.8518,0.0192
NIR_w1_median,Mg_%,-0.1115,0.2767,0.1115
NIR_w1_median,S_%,-0.0043,0.9668,0.0043
NIR_w1_median,Нитраты_мг_кг,0.1562,0.1287,0.1562
NIR_w1_median,Fe_мг_кг,-0.1597,0.1181,0.1597
NIR_w1_median,Mn_мг_кг,-0.0830,0.4189,0.0830
NIR_w1_median,Cu_мг_кг,0.1759,0.0849,0.1759
NIR_w1_median,Zn_мг_кг,0.1640,0.1085,0.1640
NIR_w1_median,Co_мг_кг,-0.1142,0.4499,0.1142
NIR_w1_p25,N_%,0.0298,0.7717,0.0298
NIR_w1_p25,P_%,0.1621,0.1126,0.1621
NIR_w1_p25,K_%,0.1198,0.2425,0.1198
NIR_w1_p25,Ca_%,-0.0192,0.8518,0.0192
NIR_w1_p25,Mg_%,-0.1115,0.2767,0.1115
NIR_w1_p25,S_%,-0.0043,0.9668,0.0043
NIR_w1_p25,Нитраты_мг_кг,0.1562,0.1287,0.1562
NIR_w1_p25,Fe_мг_кг,-0.1597,0.1181,0.1597
NIR_w1_p25,Mn_мг_кг,-0.0830,0.4189,0.0830
NIR_w1_p25,Cu_мг_кг,0.1759,0.0849,0.1759
NIR_w1_p25,Zn_мг_кг,0.1640,0.1085,0.1640
NIR_w1_p25,Co_мг_кг,-0.1142,0.4499,0.1142
NIR_w1_p75,N_%,0.0298,0.7717,0.0298
NIR_w1_p75,P_%,0.1621,0.1126,0.1621
NIR_w1_p75,K_%,0.1198,0.2425,0.1198
NIR_w1_p75,Ca_%,-0.0192,0.8518,0.0192
NIR_w1_p75,Mg_%,-0.1115,0.2767,0.1115
NIR_w1_p75,S_%,-0.0043,0.9668,0.0043
NIR_w1_p75,Нитраты_мг_кг,0.1562,0.1287,0.1562
NIR_w1_p75,Fe_мг_кг,-0.1597,0.1181,0.1597
NIR_w1_p75,Mn_мг_кг,-0.0830,0.4189,0.0830
NIR_w1_p75,Cu_мг_кг,0.1759,0.0849,0.1759
NIR_w1_p75,Zn_мг_кг,0.1640,0.1085,0.1640
NIR_w1_p75,Co_мг_кг,-0.1142,0.4499,0.1142
NIR_w1_cv,N_%,,,
NIR_w1_cv,P_%,,,
NIR_w1_cv,K_%,,,
NIR_w1_cv,Ca_%,,,
NIR_w1_cv,Mg_%,,,
NIR_w1_cv,S_%,,,
NIR_w1_cv,Нитраты_мг_кг,,,
NIR_w1_cv,Fe_мг_кг,,,
NIR_w1_cv,Mn_мг_кг,,,
NIR_w1_cv,Cu_мг_кг,,,
NIR_w1_cv,Zn_мг_кг,,,
NIR_w1_cv,Co_мг_кг,,,
NIR_w1_range,N_%,,,
NIR_w1_range,P_%,,,
NIR_w1_range,K_%,,,
NIR_w1_range,Ca_%,,,
NIR_w1_range,Mg_%,,,
NIR_w1_range,S_%,,,
NIR_w1_range,Нитраты_мг_кг,,,
NIR_w1_range,Fe_мг_кг,,,
NIR_w1_range,Mn_мг_кг,,,
NIR_w1_range,Cu_мг_кг,,,
NIR_w1_range,Zn_мг_кг,,,
NIR_w1_range,Co_мг_кг,,,
