element,index,n,pearson_r,pearson_p,pearson_r2,spearman_rho,spearman_p,kendall_tau,kendall_p,date
Zn_мг_кг,GI,55,-0.1121,0.4151,0.0126,-0.0840,0.5422,-0.0534,0.5662,date2
Zn_мг_кг,PRI,55,0.2383,0.0798,0.0568,0.1081,0.4323,0.0736,0.4286,date2
Zn_мг_кг,SIPI_narrow,55,0.0812,0.5556,0.0066,0.0410,0.7662,0.0277,0.7659,date2
Zn_мг_кг,CRI550,55,-0.0078,0.9549,0.0001,-0.0984,0.4748,-0.0709,0.4458,date2
Zn_мг_кг,ARI_narrow,55,0.0161,0.9070,0.0003,0.0391,0.7768,0.0264,0.7770,date2
Zn_мг_кг,PSRI_narrow,55,-0.0993,0.4706,0.0099,-0.0939,0.4954,-0.0818,0.3796,date2
Zn_мг_кг,WBI,55,-0.1919,0.1605,0.0368,-0.1467,0.2851,-0.0885,0.3415,date2
Zn_мг_кг,NDWI_hyper,55,-0.0877,0.5243,0.0077,-0.0222,0.8722,-0.0047,0.9595,date2
Zn_мг_кг,MSI,55,-0.2182,0.1095,0.0476,0.0215,0.8764,0.0196,0.8332,date2
Zn_мг_кг,R_Fe,55,0.0530,0.7007,0.0028,-0.0331,0.8105,-0.0358,0.7003,date2
Zn_мг_кг,R_Mn,55,-0.0703,0.6101,0.0049,-0.1780,0.1936,-0.1304,0.1611,date2
Zn_мг_кг,R_Zn,55,-0.1715,0.2106,0.0294,-0.1501,0.2739,-0.1223,0.1887,date2
Zn_мг_кг,R_Ca,55,-0.1927,0.1588,0.0371,-0.2689,0.0471,-0.1912,0.0399,date2
Co_мг_кг,mND705,24,0.2437,0.2511,0.0594,0.2435,0.2516,0.1594,0.2896,date2
Co_мг_кг,VOG1,24,0.1861,0.3840,0.0346,0.1922,0.3683,0.1232,0.4172,date2
Co_мг_кг,VOG2,24,-0.0992,0.6445,0.0098,-0.1070,0.6189,-0.0870,0.5722,date2
Co_мг_кг,REP,24,-0.1151,0.5922,0.0133,0.1536,0.4738,0.1313,0.3990,date2
Co_мг_кг,CHL_RE,24,0.0716,0.7395,0.0051,0.1661,0.4380,0.0942,0.5392,date2
Co_мг_кг,DD,24,0.2156,0.3117,0.0465,0.2539,0.2312,0.1522,0.3128,date2
Co_мг_кг,MCARI_narrow,24,-0.0260,0.9039,0.0007,0.0139,0.9486,0.0507,0.7498,date2
Co_мг_кг,TCARI_narrow,24,-0.0095,0.9650,0.0001,0.0052,0.9807,0.0435,0.7873,date2
Co_мг_кг,OSAVI_narrow,24,0.0125,0.9537,0.0002,0.1157,0.5905,0.0652,0.6765,date2
Co_мг_кг,TCARI_OSAVI_narrow,24,0.1175,0.5846,0.0138,0.3270,0.1189,0.2246,0.1313,date2
Co_мг_кг,ZM,24,0.0716,0.7395,0.0051,0.1661,0.4380,0.0942,0.5392,date2
Co_мг_кг,GI,24,-0.0593,0.7832,0.0035,0.0209,0.9229,0.0362,0.8253,date2
Co_мг_кг,PRI,24,0.0765,0.7222,0.0059,0.0922,0.6684,0.0797,0.6062,date2
Co_мг_кг,SIPI_narrow,24,-0.1872,0.3811,0.0350,0.1043,0.6275,0.0797,0.6062,date2
Co_мг_кг,CRI550,24,-0.1065,0.6205,0.0113,-0.1365,0.5247,-0.1014,0.5071,date2
Co_мг_кг,ARI_narrow,24,-0.1287,0.5489,0.0166,0.0522,0.8087,0.0435,0.7873,date2
Co_мг_кг,PSRI_narrow,24,-0.1983,0.3529,0.0393,-0.0835,0.6982,-0.0797,0.6062,date2
Co_мг_кг,WBI,24,0.1396,0.5152,0.0195,0.2157,0.3115,0.1377,0.3627,date2
Co_мг_кг,NDWI_hyper,24,-0.0536,0.8037,0.0029,-0.0922,0.6684,-0.0652,0.6765,date2
Co_мг_кг,MSI,24,0.0266,0.9017,0.0007,-0.1113,0.6046,-0.0725,0.6410,date2
Co_мг_кг,R_Fe,24,-0.1032,0.6312,0.0107,-0.1757,0.4117,-0.1232,0.4172,date2
Co_мг_кг,R_Mn,24,0.1707,0.4250,0.0292,0.2017,0.3445,0.1087,0.4761,date2
Co_мг_кг,R_Zn,24,-0.2447,0.2492,0.0599,-0.0930,0.6654,-0.0580,0.7128,date2
Co_мг_кг,R_Ca,24,-0.1998,0.3491,0.0399,-0.1600,0.4552,-0.1159,0.4461,date2
