wl,idx,r,p,rho,n,element,prep
767.340000,180.000000,0.206150,0.114046,0.134632,60.000000,N_%,raw
769.510000,181.000000,0.206845,0.112806,0.128880,60.000000,N_%,raw
771.680000,182.000000,0.205095,0.115949,0.123128,60.000000,N_%,raw
773.860000,183.000000,0.201977,0.121720,0.124045,60.000000,N_%,raw
776.030000,184.000000,0.198435,0.128537,0.131631,60.000000,N_%,raw
778.200000,185.000000,0.195534,0.134332,0.133882,60.000000,N_%,raw
780.370000,186.000000,0.193177,0.139184,0.135799,60.000000,N_%,raw
782.550000,187.000000,0.190820,0.144166,0.133131,60.000000,N_%,raw
784.720000,188.000000,0.189835,0.146288,0.134326,60.000000,N_%,raw
786.900000,189.000000,0.188116,0.150044,0.126601,60.000000,N_%,raw
789.080000,190.000000,0.186250,0.154204,0.122294,60.000000,N_%,raw
791.250000,191.000000,0.184291,0.158660,0.127213,60.000000,N_%,raw
793.430000,192.000000,0.184051,0.159213,0.123489,60.000000,N_%,raw
795.610000,193.000000,0.185338,0.156267,0.123656,60.000000,N_%,raw
797.790000,194.000000,0.187860,0.150611,0.124378,60.000000,N_%,raw
799.970000,195.000000,0.191686,0.142321,0.126601,60.000000,N_%,raw
802.150000,196.000000,0.195017,0.135385,0.135382,60.000000,N_%,raw
804.340000,197.000000,0.197906,0.129580,0.135104,60.000000,N_%,raw
806.520000,198.000000,0.200556,0.124422,0.132520,60.000000,N_%,raw
808.710000,199.000000,0.201277,0.123045,0.130575,60.000000,N_%,raw
810.890000,200.000000,0.202297,0.121118,0.133798,60.000000,N_%,raw
813.080000,201.000000,0.203812,0.118298,0.141357,60.000000,N_%,raw
815.260000,202.000000,0.206957,0.112606,0.147553,60.000000,N_%,raw
817.450000,203.000000,0.210144,0.107054,0.151638,60.000000,N_%,raw
819.640000,204.000000,0.214249,0.100216,0.158252,60.000000,N_%,raw
821.830000,205.000000,0.218249,0.093885,0.163615,60.000000,N_%,raw
824.020000,206.000000,0.219642,0.091755,0.166060,60.000000,N_%,raw
826.210000,207.000000,0.218712,0.093173,0.169033,60.000000,N_%,raw
828.400000,208.000000,0.214847,0.099249,0.164893,60.000000,N_%,raw
830.590000,209.000000,0.209800,0.107642,0.158029,60.000000,N_%,raw
832.790000,210.000000,0.204831,0.116431,0.157585,60.000000,N_%,raw
834.980000,211.000000,0.199044,0.127344,0.152555,60.000000,N_%,raw
837.170000,212.000000,0.193599,0.138307,0.147470,60.000000,N_%,raw
839.370000,213.000000,0.188866,0.148397,0.143524,60.000000,N_%,raw
841.570000,214.000000,0.185743,0.155348,0.146470,60.000000,N_%,raw
543.760000,215.000000,0.184007,0.159316,0.135077,60.000000,N_%,raw
845.960000,216.000000,0.184648,0.157842,0.136494,60.000000,N_%,raw
848.160000,217.000000,0.185479,0.155948,0.135327,60.000000,N_%,raw
850.360000,218.000000,0.187186,0.152107,0.130047,60.000000,N_%,raw
852.560000,219.000000,0.190492,0.144870,0.124517,60.000000,N_%,raw
854.760000,220.000000,0.195041,0.135336,0.124823,60.000000,N_%,raw
856.960000,221.000000,0.199050,0.127333,0.141607,60.000000,N_%,raw
859.170000,222.000000,0.201722,0.122202,0.148442,60.000000,N_%,raw
861.370000,223.000000,0.203823,0.118277,0.154723,60.000000,N_%,raw
863.570000,224.000000,0.204726,0.116622,0.149526,60.000000,N_%,raw
865.780000,225.000000,0.205231,0.115704,0.156584,60.000000,N_%,raw
867.990000,226.000000,0.205340,0.115505,0.146247,60.000000,N_%,raw
870.190000,227.000000,0.203592,0.118704,0.145692,60.000000,N_%,raw
872.400000,228.000000,0.202183,0.121333,0.148470,60.000000,N_%,raw
874.610000,229.000000,0.200669,0.124204,0.145747,60.000000,N_%,raw
876.820000,230.000000,0.200641,0.124258,0.153917,60.000000,N_%,raw
879.030000,231.000000,0.200137,0.125227,0.148109,60.000000,N_%,raw
881.240000,232.000000,0.199172,0.127096,0.149054,60.000000,N_%,raw
883.450000,233.000000,0.198604,0.128205,0.142218,60.000000,N_%,raw
885.660000,234.000000,0.196462,0.132458,0.137494,60.000000,N_%,raw
887.880000,235.000000,0.194093,0.137284,0.142413,60.000000,N_%,raw
890.090000,236.000000,0.190752,0.144312,0.136744,60.000000,N_%,raw
892.310000,237.000000,0.187553,0.151291,0.141829,60.000000,N_%,raw
984.520000,238.000000,0.185036,0.156955,0.132631,60.000000,N_%,raw
896.740000,239.000000,0.183137,0.161330,0.121405,60.000000,N_%,raw
898.960000,240.000000,0.184989,0.157061,0.119793,60.000000,N_%,raw
901.180000,241.000000,0.190501,0.144850,0.121183,60.000000,N_%,raw
903.390000,242.000000,0.198821,0.127781,0.122878,60.000000,N_%,raw
