model,R2,R2_fold_mean,R2_fold_std,RMSE,MAE,RPD,RPIQ,n,element,date,track,n_features
XGBoost,-0.3389,-0.5656,0.4976,0.0619,0.0511,0.8600,1.2900,60,S_%,date1,B_hyper,34
XGBoost,-0.3797,-0.8392,0.9824,0.0629,0.0505,0.8500,1.2700,60,S_%,date1,A_multi,49
SVR,-0.4827,-0.7909,1.0808,0.0652,0.0522,0.8200,1.2300,60,S_%,date1,A_multi,49
GBR,-0.5559,-1.0525,0.9802,0.0668,0.0541,0.8000,1.2000,60,S_%,date1,A_multi,49
PLSR,-5.6799,-8.5360,15.5770,0.1384,0.0620,0.3900,0.5800,60,S_%,date1,A_multi,49
PLSR,-1054.1278,-699.3821,1396.0943,1.7390,0.2775,0.0300,0.0500,60,S_%,date1,C_fusion,83
PLSR,-1686.8173,-1119.1844,2233.9396,2.1994,0.3464,0.0200,0.0400,60,S_%,date1,B_hyper,34
ElasticNet,-0.0619,-0.5219,0.8679,20.3568,13.1998,0.9700,0.4000,60,Zn_мг_кг,date1,A_multi,49
SVR,-0.0739,-0.1115,0.0857,20.4709,10.8635,0.9600,0.4000,60,Zn_мг_кг,date1,B_hyper,34
SVR,-0.0767,-0.0814,0.0946,20.4983,10.8848,0.9600,0.4000,60,Zn_мг_кг,date1,A_multi,49
SVR,-0.0801,-0.1088,0.0853,20.5299,10.9682,0.9600,0.4000,60,Zn_мг_кг,date1,C_fusion,83
RF,-0.1486,-0.6435,0.7397,21.1710,14.3910,0.9300,0.3900,60,Zn_мг_кг,date1,A_multi,49
GBR,-0.2986,-0.5980,0.4009,22.5110,14.6839,0.8800,0.3600,60,Zn_мг_кг,date1,A_multi,49
XGBoost,-0.3391,-1.9452,2.6281,22.8591,15.0486,0.8600,0.3600,60,Zn_мг_кг,date1,A_multi,49
RF,-0.3963,-2.2675,3.7556,23.3430,16.3709,0.8500,0.3500,60,Zn_мг_кг,date1,B_hyper,34
RF,-0.4360,-2.2798,3.5122,23.6723,16.6347,0.8300,0.3500,60,Zn_мг_кг,date1,C_fusion,83
GBR,-0.5102,-3.0693,4.9362,24.2760,15.6169,0.8100,0.3400,60,Zn_мг_кг,date1,B_hyper,34
XGBoost,-0.6744,-4.6309,7.8600,25.5620,16.0903,0.7700,0.3200,60,Zn_мг_кг,date1,B_hyper,34
GBR,-0.7415,-3.6760,5.2771,26.0687,17.0964,0.7600,0.3100,60,Zn_мг_кг,date1,C_fusion,83
XGBoost,-1.2173,-4.8571,6.4679,29.4153,19.1523,0.6700,0.2800,60,Zn_мг_кг,date1,C_fusion,83
PLSR,-2.7222,-4.8467,4.4338,38.1119,20.6802,0.5200,0.2100,60,Zn_мг_кг,date1,A_multi,49
ElasticNet,-41.2758,-92.8379,182.9881,128.4418,29.8997,0.1500,0.0600,60,Zn_мг_кг,date1,C_fusion,83
ElasticNet,-42.6948,-95.9067,189.1901,130.5796,30.3764,0.1500,0.0600,60,Zn_мг_кг,date1,B_hyper,34
PLSR,-1050.2915,-2344.6811,4663.4388,640.5042,107.1055,0.0300,0.0100,60,Zn_мг_кг,date1,C_fusion,83
PLSR,-4164.8053,-9276.0041,18533.2768,1274.9991,185.8432,0.0200,0.0100,60,Zn_мг_кг,date1,B_hyper,34
RF,0.0745,0.0125,0.1380,2432.2266,1756.3150,1.0400,1.1000,60,Нитраты_мг_кг,date1,B_hyper,34
XGBoost,0.0564,-0.0375,0.2761,2455.9317,1765.7981,1.0300,1.0900,60,Нитраты_мг_кг,date1,B_hyper,34
RF,0.0213,-0.0123,0.0994,2501.1561,1803.5939,1.0100,1.0700,60,Нитраты_мг_кг,date1,C_fusion,83
GBR,0.0047,-0.0501,0.2753,2522.3298,1738.4220,1.0000,1.0600,60,Нитраты_мг_кг,date1,B_hyper,34
GBR,-0.0030,-0.0381,0.2370,2532.0089,1805.0893,1.0000,1.0500,60,Нитраты_мг_кг,date1,C_fusion,83
XGBoost,-0.1044,-0.2236,0.2861,2656.8992,1954.5043,0.9500,1.0000,60,Нитраты_мг_кг,date1,C_fusion,83
SVR,-0.1306,-0.2333,0.3007,2688.2993,1897.6434,0.9400,0.9900,60,Нитраты_мг_кг,date1,B_hyper,34
SVR,-0.1307,-0.2334,0.3009,2688.3389,1897.5673,0.9400,0.9900,60,Нитраты_мг_кг,date1,C_fusion,83
SVR,-0.1309,-0.2337,0.3016,2688.6455,1897.7527,0.9400,0.9900,60,Нитраты_мг_кг,date1,A_multi,49
ElasticNet,-0.1568,-0.2639,0.3418,2719.2565,1925.3050,0.9300,0.9800,60,Нитраты_мг_кг,date1,A_multi,49
RF,-0.4323,-0.4080,0.5591,3025.7645,2201.3781,0.8400,0.8800,60,Нитраты_мг_кг,date1,A_multi,49
GBR,-0.5928,-0.5821,0.6878,3190.8085,2314.5916,0.7900,0.8400,60,Нитраты_мг_кг,date1,A_multi,49
XGBoost,-1.0415,-1.0973,1.3140,3612.3664,2456.0434,0.7000,0.7400,60,Нитраты_мг_кг,date1,A_multi,49
PLSR,-1.5444,-1.8667,3.4026,4032.8060,2346.8963,0.6300,0.6600,60,Нитраты_мг_кг,date1,A_multi,49
ElasticNet,-73.9893,-99.6399,199.4549,21893.6617,4618.5452,0.1200,0.1200,60,Нитраты_мг_кг,date1,C_fusion,83
ElasticNet,-102.1904,-137.6070,275.3913,25682.5614,4950.3109,0.1000,0.1000,60,Нитраты_мг_кг,date1,B_hyper,34
PLSR,-284.2620,-382.5155,760.5085,42701.2514,8434.8759,0.0600,0.0600,60,Нитраты_мг_кг,date1,C_fusion,83
PLSR,-1109.9683,-1493.3881,2983.9376,84269.3096,13397.3333,0.0300,0.0300,60,Нитраты_мг_кг,date1,B_hyper,34
